,job_title,job_location,job_duration,date_posted
119,Production Intern,VA-Springfield-TWP Plant,Full time,2022-03-21
120,"Senior Software Engineer, Android",DC-Washington-TWP Headquarters,Full time,2022-03-18
121,"Head of SaaS Sales, The Americas",Anywhere in U.S.,Full time,2022-03-16
122,Publication Design Specialist,DC-Washington-TWP Headquarters,Full time,2022-03-16
123,"Tax Intern, Summer 2022",DC-Washington-TWP Headquarters,Full time,2022-03-15
124,"Client Partner, Tech and Media",NY-New York TWP,Full time,2022-03-11
125,"VP, Key Accounts & Customer Success",Anywhere in U.S.,Full time,2022-03-11
126,"Manager, Publisher Integrations",IL-Chicago-TWP Engineering,Full time,2022-03-08
127,Senior Data Scientist,DC-Washington-TWP Headquarters,Full time,2022-03-07
128,Business Intelligence Analyst,DC-Washington-TWP Headquarters,Full time,2022-03-07
129,"Technical Product Management Lead, Publishing",Anywhere in U.S.,Full time,2022-03-07
130,"Senior Technical Product Manager, Publishing Platform",Anywhere in U.S.,Full time,2022-03-07
131,"Software Engineer, Data Products",DC-Washington-TWP Headquarters,Full time,2022-03-03
132,Client Manager,DC-Washington-TWP Headquarters,Full time,2022-02-28
133,International Client Partner,UK-London CWS - WeWork,Full time,2022-02-23
134,"Director, Product Design",IL-Chicago-TWP EngineeringAnywhere in U.S.IL-TWP Remote Office,Full time,2022-02-15
135,"Associate General Counsel, Enterprise SaaS Contracts",DC-Washington-TWP Headquarters,Full time,2022-02-09
136,Senior Product Designer,DC-Washington-TWP Headquarters,Full time,2022-01-26
137,Software Engineer,DC-Washington-TWP Headquarters,Full time,2022-01-24
138,Head of Product Operations,DC-Washington-TWP Headquarters,Full time,2022-01-11
139,"Senior E-commerce Specialist, Registration",DC-Washington-TWP HeadquartersAnywhere in U.S.,Full time,2022-01-05
140,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-11-15
141,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-10-20
142,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-09-29
143,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-08-05
144,Senior Front End Software Engineer,DC-Washington-TWP Headquarters,Full time,2021-07-30
145,Engineering Lead,DC-Washington-TWP Headquarters,Full time,2021-07-23
146,Industrial Electrician,VA-Springfield-TWP Plant,Full time,2021-06-23
147,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-06-01
148,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-04-30
149,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-04-30
150,Utility Mailer,VA-Springfield-TWP Plant,Part time,2021-04-16
151,Production Intern,VA-Springfield-TWP Plant,Full time,2021-04-09
152,Diesel Mechanic,VA-Springfield-RT Work Center,Full time,2020-08-10
153,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2020-03-06
154,CDL Circulation Driver,VA-Springfield-TWP Plant,Part time,2020-01-07
155,Diesel Mechanic,VA-Springfield-RT Work Center,Full time,2019-04-24
